genes	species	VF names	family names	number
adsA	Staphylococcus aureus	AdsA	Immune evasion	25.0
aur	Staphylococcus aureus	Aureolysin	Exoenzyme	25.0
cap8A	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8B	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8C	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8D	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8E	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8F	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8G	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8H	Staphylococcus aureus	Capsule	Antiphagocytosis	11.0
cap8I	Staphylococcus aureus	Capsule	Antiphagocytosis	11.0
cap8J	Staphylococcus aureus	Capsule	Antiphagocytosis	11.0
cap8K	Staphylococcus aureus	Capsule	Antiphagocytosis	11.0
cap8L	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8M	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8N	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8O	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
cap8P	Staphylococcus aureus	Capsule	Antiphagocytosis	25.0
chp	Staphylococcus aureus	CHIPS	Immune evasion	4.0
coa	Staphylococcus aureus	Staphylocoagulase	Exoenzyme	5.0
ebp	Staphylococcus aureus	EbpS	Adherence	24.0
esaA	Staphylococcus aureus	Type VII secretion system	Secretion system	24.0
esaB	Staphylococcus aureus	Type VII secretion system	Secretion system	24.0
esaC	Staphylococcus aureus	Type VII secretion system	Secretion system	20.0
essA	Staphylococcus aureus	Type VII secretion system	Secretion system	24.0
essB	Staphylococcus aureus	Type VII secretion system	Secretion system	24.0
essC	Staphylococcus aureus	Type VII secretion system	Secretion system	20.0
esxA	Staphylococcus aureus	Type VII secretion system	Secretion system	24.0
esxB	Staphylococcus aureus	Type VII secretion system	Secretion system	20.0
fnbA	Staphylococcus aureus	FnBPs	Adherence	15.0
fnbB	Staphylococcus aureus	FnBPs	Adherence	9.0
geh	Staphylococcus aureus	Lipase	Exoenzyme	24.0
hlb	Staphylococcus aureus	<beta>-hemolysin	Toxin	12.0
hld	Staphylococcus aureus	<delta>-hemolysin	Toxin	25.0
hlgA	Staphylococcus aureus	<gamma>-hemolysin	Toxin	25.0
hlgB	Staphylococcus aureus	<gamma>-hemolysin	Toxin	25.0
hlgC	Staphylococcus aureus	<gamma>-hemolysin	Toxin	25.0
hly/hla	Staphylococcus aureus	<alpha>-hemolysin	Toxin	25.0
hysA	Staphylococcus aureus	Hyaluronate lyase	Exoenzyme	21.0
icaA	Staphylococcus aureus	Intercellular adhesion proteins	Adherence	22.0
icaB	Staphylococcus aureus	Intercellular adhesion proteins	Adherence	22.0
icaC	Staphylococcus aureus	Intercellular adhesion proteins	Adherence	22.0
icaD	Staphylococcus aureus	Intercellular adhesion proteins	Adherence	22.0
icaR	Staphylococcus aureus	Intercellular adhesion proteins	Adherence	22.0
isdA	Staphylococcus aureus	Isd	Iron uptake	25.0
isdB	Staphylococcus aureus	Isd	Iron uptake	25.0
isdC	Staphylococcus aureus	Isd	Iron uptake	25.0
isdD	Staphylococcus aureus	Isd	Iron uptake	25.0
isdE	Staphylococcus aureus	Isd	Iron uptake	25.0
isdF	Staphylococcus aureus	Isd	Iron uptake	25.0
isdG	Staphylococcus aureus	Isd	Iron uptake	25.0
lip	Staphylococcus aureus	Lipase	Exoenzyme	22.0
lukF-PV	Staphylococcus aureus	PVL	Toxin	29.0
lukS-PV	Staphylococcus aureus	PVL	Toxin	1.0
map	Staphylococcus aureus	Eap/Map	Adherence	14.0
sak	Staphylococcus aureus	Staphylokinase	Plasminogen activator	11.0
sbi	Staphylococcus aureus	Sbi	Immune evasion	25.0
scn	Staphylococcus aureus	SCIN	Immune evasion	10.0
sea	Staphylococcus aureus	SE	Toxin	8.0
seb	Staphylococcus aureus	SE	Toxin	1.0
sec	Staphylococcus aureus	Enterotoxin C	Unclassified	4.0
sed	Staphylococcus aureus	SE	Toxin	4.0
see	Staphylococcus aureus	SE	Toxin	3.0
seh	Staphylococcus aureus	SE	Toxin	1.0
selk	Staphylococcus aureus	SE	Toxin	1.0
sell	Staphylococcus aureus	Enterotoxin-like L	Unclassified	4.0
selq	Staphylococcus aureus	SE	Toxin	1.0
spa	Staphylococcus aureus	SpA	Immune evasion	8.0
srtB	Staphylococcus aureus	Isd	Iron uptake	25.0
sspA	Staphylococcus aureus	V8 protease	Exoenzyme	24.0
sspB	Staphylococcus aureus	Staphopain	Exoenzyme	24.0
sspC	Staphylococcus aureus	Staphopain	Exoenzyme	25.0
tsst-1	Staphylococcus aureus	TSST-1	Toxin	4.0
vWbp	Staphylococcus aureus	vWbp	Exoenzyme	16.0
